fips,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08
12086,1.7912564,1.6799036,1.6203291,1.6460825,1.5663075,1.5148934,1.5331922,1.5045716,1.4587764,1.4153113,1.4206054,1.3969461,1.3400288,1.3652897,1.3806291,1.3216869,1.2820041,1.3303534,1.2306968,1.2133902,1.1728436
4013,1.076189,1.0692878,1.0718198,1.074638,1.0634005,1.0768094,1.0890293,1.0856051,1.0963352,1.0998776,1.1015664,1.0825367,1.0824878,1.084353,1.0976967,1.0982187,1.0823176,1.1098725,1.0903503,1.0965837,1.0840734
6037,1.1859367,1.1686403,1.1670883,1.177835,1.1576775,1.1573968,1.1801265,1.1815959,1.1714218,1.1682714,1.1836182,1.173305,1.1634247,1.1702379,1.1812608,1.1662177,1.1665363,1.2012346,1.161232,1.1654344,1.1466506
12011,1.407682,1.3561068,1.338036,1.3540065,1.3136106,1.2922965,1.3181727,1.3119024,1.2827742,1.2669669,1.2823695,1.2727253,1.2447467,1.2583749,1.2708743,1.2349391,1.2229924,1.269665,1.2025687,1.2005726,1.1717646
48201,1.2462486,1.2216892,1.2192284,1.2301357,1.207461,1.1992974,1.226989,1.2275057,1.2101369,1.20469,1.222339,1.216692,1.2025558,1.2093906,1.220158,1.1983827,1.2010761,1.2401903,1.1929333,1.1960735,1.173124
48113,1.1827421,1.1630685,1.1619419,1.1702511,1.1512377,1.1501378,1.1713336,1.1710044,1.1642666,1.1622226,1.1722027,1.1599575,1.1506137,1.1566399,1.1701219,1.1531012,1.1485782,1.1848626,1.1443477,1.1495676,1.1301792
6059,1.8276721,1.713162,1.6539124,1.6760924,1.5987309,1.540093,1.5631667,1.5308713,1.4837128,1.4388726,1.4436471,1.4227169,1.3639387,1.3878473,1.4024718,1.3415545,1.3031006,1.3527133,1.2513884,1.2336813,1.191092
32003,1.4476501,1.3963976,1.3813196,1.3940004,1.3570501,1.3291392,1.3635314,1.3556635,1.3215215,1.3038181,1.3252327,1.3240288,1.2947273,1.3046726,1.3129317,1.2784951,1.2735758,1.3214389,1.2560513,1.2520365,1.2212992
12057,1.8288585,1.7138199,1.6535897,1.6765621,1.5979978,1.5401018,1.5620673,1.5299349,1.4828826,1.437631,1.4422638,1.4203713,1.3614815,1.3857698,1.4005814,1.3396809,1.3006474,1.3497394,1.2483523,1.2303212,1.1879487
12095,1.6034079,1.5238878,1.4888328,1.5076236,1.450666,1.4120289,1.4390742,1.4222045,1.3812652,1.3524796,1.3667185,1.3552612,1.3124908,1.3306304,1.3424735,1.2954787,1.2718718,1.3225107,1.2392958,1.229769,1.1944932
6065,2.034196,1.8874942,1.805003,1.8290615,1.7352234,1.6555095,1.6747273,1.6260499,1.5780782,1.5178121,1.5096074,1.4768994,1.4055619,1.4335003,1.4526712,1.3769827,1.3315835,1.3752544,1.2574892,1.233227,1.1827662
48029,1.4286399,1.3741128,1.3522259,1.3706399,1.3257359,1.305033,1.3288988,1.3223532,1.2913187,1.2730318,1.2897145,1.2781781,1.2484132,1.2636722,1.27555,1.2398828,1.2254858,1.2712296,1.2032086,1.1994283,1.1711242
6071,1.468548,1.4082369,1.3852642,1.4021997,1.3567317,1.3298155,1.3565009,1.3472267,1.3138185,1.294213,1.3096094,1.2999644,1.2672222,1.2823316,1.2946093,1.2547508,1.2394193,1.2880166,1.2152371,1.2110698,1.1799836
12099,1.9430054,1.8109772,1.7397332,1.762307,1.676539,1.6057194,1.62773,1.5863036,1.5379089,1.4848512,1.4830624,1.4568839,1.3908491,1.4168572,1.4335161,1.3647449,1.3218918,1.3691826,1.2589831,1.2377124,1.1907309
12031,1.2259119,1.1998993,1.1942118,1.2058247,1.1805501,1.1770363,1.1978233,1.1974132,1.1853808,1.180026,1.1920615,1.1792144,1.165937,1.1746644,1.1877925,1.1672517,1.1606419,1.1985844,1.15249,1.1560485,1.1355236
48439,1.2293657,1.2026646,1.195971,1.2082126,1.1819004,1.1785748,1.1988028,1.1982996,1.1859947,1.180057,1.1923016,1.1787935,1.1650159,1.1743257,1.1872994,1.1668184,1.1594403,1.1973199,1.150648,1.153879,1.1335757
6073,2.0655408,1.9144729,1.8279665,1.8524078,1.7557794,1.6734092,1.6914922,1.6404784,1.5928173,1.5297085,1.519835,1.4844539,1.411808,1.4400735,1.4598227,1.3824214,1.3366663,1.378193,1.2591248,1.2333562,1.1821957
48215,1.5200938,1.4509556,1.4221495,1.440937,1.389322,1.3587161,1.3838044,1.3718293,1.3356508,1.3125532,1.3262416,1.3144675,1.2773594,1.2947793,1.307811,1.2641406,1.2435259,1.2932566,1.2150376,1.2090651,1.1762991
