fips,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08
12086,1.676642,1.6496955,1.6467229,1.6357269,1.568797,1.5596057,1.553103,1.495666,1.4740889,1.4762282,1.4424195,1.4236465,1.4284769,1.3804193,1.3497075,1.3208345,1.3084073,1.3136461,1.2717987,1.2803717,1.2276434
4013,1.322591,1.341691,1.3600144,1.3687116,1.3635803,1.3515786,1.3771034,1.3573198,1.3765508,1.3750556,1.4089713,1.392868,1.3896976,1.3969901,1.380475,1.3708564,1.3647395,1.3756932,1.3520132,1.3468237,1.3652205
6037,1.5001265,1.5146929,1.5388103,1.5359648,1.5170188,1.5103552,1.5275531,1.4927028,1.5089858,1.5059371,1.5303328,1.505591,1.4984974,1.4953796,1.4676011,1.4497528,1.4406422,1.4538285,1.4186122,1.4103358,1.4092591
12011,1.5713648,1.569463,1.5870448,1.5780587,1.5393214,1.5297815,1.5355917,1.4899745,1.4906694,1.4935306,1.4883837,1.466044,1.4635066,1.4428617,1.4105436,1.3875142,1.3782309,1.386183,1.3480754,1.3476301,1.3214654
48201,1.4888879,1.4951378,1.5120484,1.5114179,1.4832166,1.4757347,1.4883168,1.4519002,1.4591889,1.4611672,1.4706843,1.4493874,1.4484763,1.4399626,1.4114821,1.3941381,1.3854783,1.393289,1.3621823,1.3601704,1.3512238
48113,1.4722087,1.4881456,1.508698,1.5089593,1.4926478,1.4861623,1.506089,1.4743277,1.4902071,1.4878048,1.5141793,1.4914932,1.486668,1.4848887,1.4588515,1.443251,1.4350872,1.4481144,1.4153017,1.4070078,1.410724
6059,1.7828803,1.7644782,1.7781907,1.7526639,1.6922905,1.6870172,1.6819806,1.6217728,1.6042402,1.6034163,1.5789278,1.5503976,1.5511854,1.5085307,1.4668111,1.440407,1.4218578,1.4339889,1.3814805,1.3828372,1.3299923
32003,1.6746582,1.6776756,1.7003419,1.6872823,1.6491096,1.6472701,1.6555091,1.6084293,1.6122819,1.6087577,1.6164985,1.5849632,1.5822972,1.5644526,1.5259717,1.5050046,1.4897171,1.5020229,1.4596635,1.4533283,1.4310166
12057,1.8232015,1.8056566,1.8247017,1.7952816,1.7354141,1.7288003,1.724161,1.6629499,1.6476167,1.6447465,1.6226478,1.591252,1.5892981,1.5448425,1.5020777,1.4735926,1.4549258,1.4682652,1.412215,1.4114289,1.3564236
12095,1.7109222,1.7051528,1.7189401,1.705602,1.6578971,1.6561888,1.6626632,1.6118546,1.6053135,1.6038004,1.599535,1.571581,1.5715847,1.5435477,1.5056684,1.4841127,1.4687736,1.4808562,1.436994,1.4333785,1.4017683
6065,1.9482243,1.9211636,1.9445347,1.8985761,1.8291767,1.8206632,1.806939,1.7378831,1.7130253,1.7066575,1.6717035,1.6364851,1.6347939,1.5752131,1.5275592,1.4961123,1.4709219,1.4878802,1.4193381,1.4200732,1.346592
48029,1.5307671,1.5252553,1.5279301,1.5326475,1.4905971,1.4874036,1.49972,1.4597797,1.4559072,1.4584876,1.4577781,1.440295,1.4446018,1.4241836,1.398529,1.3814816,1.3727839,1.3785965,1.3509893,1.3522794,1.3354092
6071,1.6018481,1.597542,1.6129441,1.6031208,1.5605289,1.5527751,1.5576065,1.5101198,1.5078385,1.5104405,1.5027939,1.4796067,1.4786363,1.4550757,1.4213717,1.3983544,1.38791,1.3959506,1.3569499,1.3568196,1.3276953
12099,1.7519786,1.7206974,1.719722,1.6991689,1.6270205,1.6183903,1.6049509,1.5426219,1.5155084,1.5154241,1.4751776,1.4523033,1.4597774,1.4045879,1.3687742,1.3390957,1.3211794,1.3288856,1.2788496,1.2885303,1.2265683
12031,1.3858554,1.3876243,1.3973912,1.404232,1.3755536,1.3647314,1.379692,1.347884,1.352117,1.3576062,1.3616945,1.3489642,1.3497624,1.3409221,1.3203982,1.3056425,1.3007596,1.3049567,1.2823267,1.285225,1.2786478
48439,1.3864478,1.3851236,1.3954464,1.4018201,1.3699646,1.3547568,1.3671558,1.3341175,1.3373308,1.3435465,1.3429381,1.3300611,1.3302861,1.3175739,1.2982188,1.2800577,1.2767805,1.2788488,1.2549964,1.259899,1.2485158
6073,1.8426127,1.8079754,1.801975,1.7796946,1.7040657,1.7013009,1.689568,1.6267582,1.5934559,1.5884039,1.5524437,1.5266683,1.5379069,1.4766006,1.4392437,1.4125584,1.3894345,1.402421,1.3477955,1.354525,1.2922413
48215,1.562301,1.5526296,1.5585842,1.5543339,1.5065367,1.5017737,1.5060896,1.4589578,1.4507062,1.4558564,1.4411721,1.4236934,1.4267431,1.4016153,1.3702925,1.3507453,1.3397238,1.3464735,1.3133134,1.3168472,1.2872895
